                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 1.2626,                0.92464,                 1.5608,                0.87005,                0.78648,                0.88275,                0.55531,                 1.3725,                 1.0888,                 1.8847,               0.005512,               0.005512,               0.005512
                    138,                 1.3723,                 1.0427,                 1.6679,                0.83571,                0.81495,                0.86572,                0.55961,                 1.3483,                 1.0465,                 1.8141,               0.005479,               0.005479,               0.005479
                    139,                 1.4138,                  1.054,                 1.7164,                0.86485,                0.59209,                0.73954,                0.48866,                 1.4438,                 1.3605,                 1.9778,               0.005446,               0.005446,               0.005446
                    140,                 1.3191,                0.98425,                 1.6973,                0.87646,                0.85838,                0.91238,                0.62663,                 1.2268,                0.98494,                  1.736,               0.005413,               0.005413,               0.005413
                    141,                 1.3378,                 1.0804,                 1.6925,                0.80731,                0.74021,                0.83764,                0.55462,                  1.361,                 1.2011,                 1.8733,                0.00538,                0.00538,                0.00538
                    142,                 1.2516,                0.97977,                 1.5865,                0.92258,                0.84818,                0.94238,                0.66271,                 1.1143,                0.91717,                 1.6036,               0.005347,               0.005347,               0.005347
                    143,                  1.305,                0.97727,                 1.6277,                0.86007,                0.85765,                0.92575,                0.63053,                 1.1286,                 0.9601,                 1.6179,               0.005314,               0.005314,               0.005314
                    144,                 1.2613,                0.89706,                 1.5381,                0.88266,                0.85661,                0.93914,                0.63165,                 1.1306,                0.95973,                 1.6195,               0.005281,               0.005281,               0.005281
                    145,                 1.3191,                0.97968,                 1.7178,                0.88765,                0.87162,                0.93582,                0.64985,                 1.1429,                0.96667,                 1.6553,               0.005248,               0.005248,               0.005248
                    146,                 1.3075,                0.92879,                 1.6052,                  0.907,                0.83292,                0.92802,                0.63357,                 1.1513,                0.93009,                  1.664,               0.005215,               0.005215,               0.005215
